Assemblies,Assembly_Size,TE_length,Genome_Group
Oryza sativa A123,337,37.48,Japonica 
O. sativa HEG4,342,37.82,Japonica 
O. sativa Suijing18,418,41.77,Japonica 
O. sativa Hitomebore,382,44.23,Japonica 
O. sativa Nipponbare,374,45.88,Japonica 
O. sativa Shennong 265,378,46.4,Japonica 
O. nivara,337,34.1,Wild rice
O. rufipogon,339,39.04,Wild rice
O. sativa IL50-13,295,37.69,Indica
O. sativa KMR3,307,38.85,Indica
O. sativa HR-12,389,41.19,Indica
O. sativa Co39,352,41.54,Indica
O. sativa Tadukan,331,41.72,Indica
O. sativa Tetep,351,42.49,Indica
O. sativa 93-11,395,44.99,Indica
O. sativa Zhenshan 97,346,47.61,Indica
O. sativa IR8,389,47.79,Indica
O. sativa R99,388,48.08,Indica
O. sativa Minghui 63,359,48.1,Indica
O. sativa Shuhui 498,390,48.2,Indica
O. brachyantha,259,20.47,African wild
O. barthii,308,35.78,African wild
O. longistaminata,362,37.88,African wild
O. glaberrima,303,38.65,African wild
O. punctate,393,48.55,African wild
O. meridionalis,335,24.65,Australian wild
O. meridionalis Taxon B,354,44.61,Australian wild
O. sativa vg aus,362,45.49,Australian wild
O. glumaepatula,372,29.95,South American wild
Leersia perrieri,266,30.79,Cutgrass
